date,EUR,GBP,AUD,CAD,CHF,JPY
2010-07-18,0.769231,0.650269,1.139385,1.045077,1.041769,86.569231
2010-07-19,0.771784,0.654704,1.153276,1.054797,1.052713,87.088061
2010-07-20,0.778574,0.659802,1.145905,1.057537,1.053955,86.810962
2010-07-21,0.780214,0.654950,1.130296,1.036436,1.048607,87.009441
2010-07-22,0.778210,0.655875,1.126537,1.041868,1.044202,86.824903
2010-07-23,0.775374,0.649143,1.118632,1.037916,1.045825,87.214081
2010-07-24,0.775374,0.649143,1.118632,1.037916,1.045825,87.214081
2010-07-25,0.775374,0.649143,1.118632,1.037916,1.045825,87.214081
2010-07-26,0.773335,0.645155,1.115536,1.035883,1.049725,86.853298
2010-07-27,0.767283,0.643137,1.105041,1.026778,1.056932,87.309138
2010-07-28,0.769704,0.641895,1.117457,1.030711,1.059113,87.754002
2010-07-29,0.765169,0.640217,1.109496,1.033285,1.045222,86.953860
2010-07-30,0.767578,0.640850,1.110378,1.032699,1.039377,86.444581
2010-07-31,0.767578,0.640850,1.110378,1.032699,1.039377,86.444581
2010-08-01,0.767578,0.640850,1.110378,1.032699,1.039377,86.444581
2010-08-02,0.764935,0.631837,1.097529,1.022872,1.044902,86.644229
2010-08-03,0.756372,0.627638,1.097421,1.024355,1.037138,85.855835
2010-08-04,0.757232,0.627291,1.095260,1.022868,1.039679,85.506588
2010-08-05,0.758495,0.629020,1.094433,1.013198,1.048240,86.210558
2010-08-06,0.758956,0.630009,1.089557,1.022086,1.049636,85.868245
2010-08-07,0.758956,0.630009,1.089557,1.022086,1.049636,85.868245
2010-08-08,0.758956,0.630009,1.089557,1.022086,1.049636,85.868245
2010-08-09,0.754546,0.626575,1.088282,1.028673,1.039085,85.625896
2010-08-10,0.761441,0.635955,1.101652,1.035179,1.058022,86.217924
2010-08-11,0.768285,0.635986,1.106407,1.037492,1.052167,84.941610
2010-08-12,0.781861,0.641595,1.119703,1.047537,1.054887,85.613761
2010-08-13,0.781311,0.641613,1.115712,1.041409,1.053832,85.772326
2010-08-14,0.781311,0.641613,1.115712,1.041409,1.053832,85.772326
2010-08-15,0.781311,0.641613,1.115712,1.041409,1.053832,85.772326
2010-08-16,0.780031,0.640484,1.121607,1.042590,1.041342,85.405616
2010-08-17,0.777605,0.639969,1.108165,1.037403,1.042846,85.272162
2010-08-18,0.776398,0.639208,1.107997,1.027640,1.042158,85.349379
2010-08-19,0.779059,0.639257,1.110782,1.026800,1.038563,85.556248
2010-08-20,0.786720,0.644402,1.126111,1.048383,1.034616,85.390607
2010-08-21,0.786720,0.644402,1.126111,1.048383,1.034616,85.390607
2010-08-22,0.786720,0.644402,1.126111,1.048383,1.034616,85.390607
2010-08-23,0.787154,0.643026,1.116263,1.046285,1.035894,85.193640
2010-08-24,0.792959,0.649671,1.134010,1.063278,1.043216,84.204266
2010-08-25,0.792833,0.648934,1.137636,1.066281,1.030207,84.428764
2010-08-26,0.787836,0.644016,1.128023,1.057670,1.026314,84.416608
